,A,Ea,P [Pa],T [K],b,kb,kf
250,347850500.0,83680000.0,101325.0,1250.0,0.0,[0.],[110831.94344522]
251,347850500.0,83680000.0,101325.0,1251.0,0.0,[0.],[111547.56508057]
252,347850500.0,83680000.0,101325.0,1252.0,0.0,[0.],[112266.65310694]
253,347850500.0,83680000.0,101325.0,1253.0,0.0,[0.],[112989.21781783]
254,347850500.0,83680000.0,101325.00000000001,1254.0,0.0,[0.],[113715.26951017]
255,347850500.0,83680000.0,101324.99999999997,1255.0,0.0,[0.],[114444.8184843]
256,347850500.0,83680000.0,101325.0,1256.0,0.0,[0.],[115177.87504384]
257,347850500.0,83680000.0,101325.00000000001,1257.0,0.0,[0.],[115914.44949563]
258,347850500.0,83680000.0,101325.00000000001,1258.0,0.0,[0.],[116654.55214965]
259,347850500.0,83680000.0,101325.00000000001,1259.0,0.0,[0.],[117398.19331895]
260,347850500.0,83680000.0,101324.99999999999,1260.0,0.0,[0.],[118145.38331957]
261,347850500.0,83680000.0,101325.0,1261.0,0.0,[0.],[118896.13247044]
262,347850500.0,83680000.0,101324.99999999999,1262.0,0.0,[0.],[119650.45109334]
263,347850500.0,83680000.0,101325.0,1263.0,0.0,[0.],[120408.34951279]
264,347850500.0,83680000.0,101324.99999999999,1264.0,0.0,[0.],[121169.83805597]
265,347850500.0,83680000.0,101325.0,1265.0,0.0,[0.],[121934.92705269]
266,347850500.0,83680000.0,101325.0,1266.0,0.0,[0.],[122703.62683524]
267,347850500.0,83680000.0,101325.0,1267.0,0.0,[0.],[123475.94773837]
268,347850500.0,83680000.0,101325.0,1268.0,0.0,[0.],[124251.9000992]
269,347850500.0,83680000.0,101325.00000000001,1269.0,0.0,[0.],[125031.49425711]
270,347850500.0,83680000.0,101324.99999999999,1270.0,0.0,[0.],[125814.74055371]
271,347850500.0,83680000.0,101325.0,1271.0,0.0,[0.],[126601.64933273]
272,347850500.0,83680000.0,101325.00000000001,1272.0,0.0,[0.],[127392.23093996]
273,347850500.0,83680000.0,101325.00000000001,1273.0,0.0,[0.],[128186.49572315]
274,347850500.0,83680000.0,101325.0,1274.0,0.0,[0.],[128984.45403197]
275,347850500.0,83680000.0,101325.0,1275.0,0.0,[0.],[129786.11621791]
276,347850500.0,83680000.0,101324.99999999999,1276.0,0.0,[0.],[130591.4926342]
277,347850500.0,83680000.0,101325.0,1277.0,0.0,[0.],[131400.59363572]
278,347850500.0,83680000.0,101325.0,1278.0,0.0,[0.],[132213.42957898]
279,347850500.0,83680000.0,101325.0,1279.0,0.0,[0.],[133030.01082198]
280,347850500.0,83680000.0,101324.99999999999,1280.0,0.0,[0.],[133850.34772417]
281,347850500.0,83680000.0,101324.99999999999,1281.0,0.0,[0.],[134674.45064636]
282,347850500.0,83680000.0,101325.0,1282.0,0.0,[0.],[135502.32995065]
283,347850500.0,83680000.0,101324.99999999999,1283.0,0.0,[0.],[136333.99600035]
284,347850500.0,83680000.0,101325.0,1284.0,0.0,[0.],[137169.45915991]
285,347850500.0,83680000.0,101324.99999999999,1285.0,0.0,[0.],[138008.72979484]
286,347850500.0,83680000.0,101325.0,1286.0,0.0,[0.],[138851.81827162]
287,347850500.0,83680000.0,101325.0,1287.0,0.0,[0.],[139698.73495765]
288,347850500.0,83680000.0,101325.0,1288.0,0.0,[0.],[140549.49022118]
289,347850500.0,83680000.0,101325.00000000001,1289.0,0.0,[0.],[141404.09443119]
290,347850500.0,83680000.0,101325.0,1290.0,0.0,[0.],[142262.55795736]
291,347850500.0,83680000.0,101325.0,1291.0,0.0,[0.],[143124.89116997]
292,347850500.0,83680000.0,101324.99999999999,1292.0,0.0,[0.],[143991.10443983]
293,347850500.0,83680000.0,101325.0,1293.0,0.0,[0.],[144861.20813823]
294,347850500.0,83680000.0,101324.99999999999,1294.0,0.0,[0.],[145735.21263681]
295,347850500.0,83680000.0,101325.0,1295.0,0.0,[0.],[146613.12830755]
296,347850500.0,83680000.0,101325.00000000001,1296.0,0.0,[0.],[147494.96552266]
297,347850500.0,83680000.0,101325.0,1297.0,0.0,[0.],[148380.73465448]
298,347850500.0,83680000.0,101325.00000000001,1298.0,0.0,[0.],[149270.44607547]
299,347850500.0,83680000.0,101324.99999999999,1299.0,0.0,[0.],[150164.1101581]
300,347850500.0,83680000.0,101325.0,1300.0,0.0,[0.],[151061.73727475]
301,347850500.0,83680000.0,101324.99999999999,1301.0,0.0,[0.],[151963.33779769]
302,347850500.0,83680000.0,101324.99999999999,1302.0,0.0,[0.],[152868.92209899]
303,347850500.0,83680000.0,101325.00000000001,1303.0,0.0,[0.],[153778.5005504]
304,347850500.0,83680000.0,101325.0,1304.0,0.0,[0.],[154692.08352334]
305,347850500.0,83680000.0,101325.00000000001,1305.0,0.0,[0.],[155609.68138879]
306,347850500.0,83680000.0,101325.0,1306.0,0.0,[0.],[156531.30451725]
307,347850500.0,83680000.0,101324.99999999999,1307.0,0.0,[0.],[157456.96327861]
308,347850500.0,83680000.0,101325.0,1308.0,0.0,[0.],[158386.66804214]
309,347850500.0,83680000.0,101325.0,1309.0,0.0,[0.],[159320.42917637]
310,347850500.0,83680000.0,101325.0,1310.0,0.0,[0.],[160258.25704905]
311,347850500.0,83680000.0,101325.0,1311.0,0.0,[0.],[161200.16202704]
312,347850500.0,83680000.0,101325.00000000003,1312.0,0.0,[0.],[162146.15447629]
313,347850500.0,83680000.0,101324.99999999999,1313.0,0.0,[0.],[163096.24476173]
314,347850500.0,83680000.0,101325.00000000001,1314.0,0.0,[0.],[164050.4432472]
315,347850500.0,83680000.0,101325.0,1315.0,0.0,[0.],[165008.76029539]
316,347850500.0,83680000.0,101325.0,1316.0,0.0,[0.],[165971.20626775]
317,347850500.0,83680000.0,101324.99999999999,1317.0,0.0,[0.],[166937.79152447]
318,347850500.0,83680000.0,101324.99999999999,1318.0,0.0,[0.],[167908.52642432]
319,347850500.0,83680000.0,101325.00000000001,1319.0,0.0,[0.],[168883.42132467]
320,347850500.0,83680000.0,101324.99999999999,1320.0,0.0,[0.],[169862.48658135]
321,347850500.0,83680000.0,101325.00000000001,1321.0,0.0,[0.],[170845.73254862]
322,347850500.0,83680000.0,101325.0,1322.0,0.0,[0.],[171833.16957909]
323,347850500.0,83680000.0,101324.99999999999,1323.0,0.0,[0.],[172824.80802363]
324,347850500.0,83680000.0,101324.99999999999,1324.0,0.0,[0.],[173820.65823133]
